"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_NOT_INITIALIZED_ERROR","","Not initialized.","Initialisation échouée.","No se ha inicializado.","Nicht initialisiert.","Non inizializzato.","Não inicializado.","","Не инициализировано.","","","","","Inte ännu initialiserad","Niet geladen.","","","初期化されていません。","未初始化","初始化時發生錯誤，請再試一次。","개시되지 않았습니다.","","Nincs betöltve.","","","","לא הצליח לפעול.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_SOMETHING_WENT_WRONG_ERROR","","Oops something went wrong.","Une erreur s'est produite.","Vaya, algo salió mal.","Hoppla, ein Fehler ist aufgetreten.","Oops, qualcosa è andato storto.","Oops, algo deu errado.","","Ой, что-то пошло не так.","","","","","Oj, något gick fel.","Oeps, er is iets misgegaan.","","","エラーが発生しました。","啊呀出错了","哎呀，似乎出了點問題","죄송합니다. 문제가 발생했습니다.","","Hoppá! Valami rosszul sült el.","","","","עשית אופסי וזה לא עובד יותר לול.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_PLATFORM_SERVICES_ERROR","","Leaderboards not available.
Probably you are not signed in or your use of online features is restricted.","Les classements sont indisponibles.
Vous n'êtes peut-être pas connecté(e) ou votre utilisation des fonctionnalités en ligne est restreinte.","Las tablas de puntuaciones no están disponibles.
Probablemente no estés inscrito o se haya restringido tu uso de las funciones en línea.","Bestenlisten nicht verfügbar.
Du bist wahrscheinlich nicht angemeldet oder die Verwendung von Onlinefunktionen ist eingeschränkt.","Classifiche non disponibili.
Probabilmente non sei connesso o l'uso di funzionalità online è limitato.","Placares de classificação indisponíveis.
Provavelmente você não está logado ou seu uso de recursos online é restrito.","","Список лидеров недоступен.
Вероятно, вы не вошли в систему или использование вами онлайн-функций ограничено.","","","","","Topplistor är inte tillgängliga. 
Du är förmodligen inte inloggad eller din användning av online funktioner är begränsade.","Leaderboards niet beschikbaar.
U bent waarschijnlijk niet ingelogd of uw gebruik van online functies wordt beperkt.","","","ランキングを使用できません。
サインインしていないか、オンライン機能の使用が制限されています。","无法使用排行榜功能.
可能由于您尚未登录或您的网络受到限制","無法使用排行榜功能。 
可能您尚未登入或您的網際連線受到限制","리더보드에 접속을 할 수 없습니다.
로그인하지 않았거나 온라인 사용 기능이 제한되어있을 수 있습니다.","","A ranglista nem elérhető.
Valószínűleg nem vagy bejelentkezve, vagy az online funkciók használata korlátozott.","","","","לוח התוצאות לא נגיש.
תירשמו כבר או שאתם בכלא ואנחנו שונאים אתכם וחסמנו לכם את הדברים המקוונים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_NO_MODIFIERS_TITLE","","Top without modifiers","Podium sans modificateurs","Mejores sin modificadores","Spitzenplätze ohne Modifikatoren","Top senza modificatori","Top sem modificadores","","Топ без модификаторов","","","","","Topp utan modifierare","Top zonder modifiers","","","ルール変更なしでトップ","排行(未使用修改项)","排行榜 (未使用修改器)","상위권(모디파이어 제외)","","Legjobb módosítók nélkül","","","","הכי טובים ללא שינויים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_MIXED_LEADERBOARDS_TITLE","","Top mixed","Podium (tous)","Mejores combinados","Spitzenplätze gemischt","Top mixato","Top misturado","","Топ смешанный","","","","","Topp blandat","","","","混合トップ","排行(所有)","排行榜(所有)","상위권(전체)","","Legjobb vegyes","","","","הכי טובים מעורבב","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMPTY_FAVORITES_LIST_INFO","","No songs have been favorited, press the heart icon next to a song's name to add it to favorites.","Aucun morceau favori, appuyez sur l'icône de cœur à côté du titre d'un morceau pour l'ajouter à vos favoris.","No has marcado ninguna canción como favorita. Presiona el ícono de corazón junto al nombre de una canción para añadirla a las favoritas.","Keine Songs wurden zu den Favoriten hinzugefügt. Drücke auf das Herzsymbol neben dem Titel eines Songs, um ihn zu den Favoriten hinzuzufügen.","Nessun brano è impostato come preferito, premi l'icona del cuore accanto al nome di un brano per aggiungerlo ai preferiti.","Nenhuma música foi adicionada aos favoritos, pressione o ícone de coração ao lado do nome de uma música para adicioná-la aos favoritos.","","Нет песен добавленных в избранное, нажмите значок сердца рядом с названием песни, чтобы добавить его в избранное.","","","","","Inga låtar har blivit favoriserade, tryck på hjärtikonen bredvid en låts namn för att lägga till den i favoriter.","Je hebt nog geen favoriete nummers, druk op het hartje naast de naam van een nummer om het toe te voegen aan je favorieten.","","","お気に入りの曲がありません。曲名の隣のハートアイコンを押すと、曲がお気に入りに入ります。","收藏夹还是空的，点击心型按钮将您喜爱的歌曲加入收藏夹","目前你還沒收藏任何歌曲，點擊心型按钮可將歌曲加入至收藏","즐겨찾기한 곡이 없습니다. 곡명 옆의 하트 모양 아이콘을 눌러 즐겨찾기에 추가하세요.","","Még egy dalt sem jelöltél meg kedvencként. Nyomd meg a dal neve mellett lévő szív ikont, hogy hozzáadd azt a kedvenceid listájához.","","","","שום שיר לא נמצא במועדפים, תלחץ על כפתור הלב ליד שם השיר כדי להוסיף אותו למועדפים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EULA_TITLE","","End User License Agreement","Contrat de licence d'utilisateur final","Acuerdo de Licencia de Usuario Final","Endnutzer-Lizenzvereinbarung","Contratto di licenza con l'utente finale","Contrato de Licença com o Usuário Final","","Пользовательское соглашение","","","","","Slutanvändarlicensavtal","Licentieovereenkomst voor eindgebruikers","","","エンドユーザー用使用許諾契約","终止用户许可协议","終端使用者授權合約 (EULA)","최종 사용자 라이선스 계약","","Végfelhasználói licencszerződés","","","","הסכם רישיון למשתמש","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRIVACY_POLICY_TITLE","","Privacy Policy","Politique de confidentialité","Política de Privacidad","Datenschutzrichtlinie","Politica sulla Privacy","Políticas de Privacidade","","Политика конфиденциальности","","","","","Integritetspolicy","Privacy Beleid","","","プライバシーポリシー","隐私政策","隱私政策","개인정보 취급방침","","Adatvédelmi irányelvek","","","","מדיניות הפרטיות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONLINE_SERVICES_TITLE","","Online Services","Services en ligne","Servicios en Línea","Onlinedienste","Servizi Online","Serviços Online","","Онлайн-сервисы","","","","","Online-tjänster","Online Services","","","オンラインサービス","在线服务","線上服務","온라인 서비스","","Online szolgáltatások","","","","שירותים מקוונים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DISABLE_ONLINE_SERVICES_WARNING_INFO","","You are about to disable online services. Functionality like leaderboards will stop working. All your personal data stored on our servers including your scores in leaderboards will be removed. Do you really want to disable online services?","Vous êtes sur le point de désactiver les services en ligne. Certaines fonctionnalités, telles que les classements, ne fonctionneront plus. Toutes vos données personnelles enregistrées sur nos serveurs, y compris vos scores, seront supprimées. Continuer ?","Estás a punto de desactivar los servicios en línea. Algunas funcionalidades, como las tablas de puntuaciones, dejarán de funcionar. Todos tus datos personales almacenados en nuestros servidores, incluyendo tus puntuaciones en las tablas de puntuaciones, serán eliminados. ¿Realmente deseas desactivar los servicios en línea?","Du deaktivierst gerade die Onlinedienste. Funktionen wie die Bestenlisten werden nicht mehr funktionieren. Alle persönlichen Daten, die auf unseren Servern gespeichert sind, einschließlich deiner Punkte in den Bestenlisten, werden entfernt. Möchtest du die Onlinedienste wirklich deaktivieren?","Stai per disabilitare i servizi online. Funzionalità come le classifiche smetteranno di funzionare. Tutti i tuoi dati personali memorizzati sui nostri server, inclusi i tuoi punteggi nelle classifiche, verranno rimossi. Vuoi davvero disabilitare i servizi online?","Você está prestes a desativar os serviços online. Funcionalidade como os placares de classificação deixarão de funcionar. Todos os seus dados pessoais armazenados em nossos servidores, incluindo suas pontuações nos rankings serão removidos. Você realmente quer desativar os serviços online?","","Вы собираетесь отключить онлайн-сервисы. Таблицы лидеров перестанут работать. Все ваши персональные данные, сохраненные на наших серверах, включая ваши результаты в списке лидеров будут удалены. Вы действительно хотите отключить онлайн-сервисы?","","","","","Du är på väg att inaktivera onlinetjänster. Funktionalitet som topplistor kommer att sluta fungera. Alla dina personuppgifter som lagras på våra servrar inklusive dina poäng i topplistor kommer att tas bort. Vill du verkligen inaktivera onlinetjänster?","U staat op het punt om de online diensten uit te schakelen. Functionaliteit zoals rangschikkingen zullen niet meer werken. All je persoonlijke data die opgeslagen wordt op onze serverss, inclusief je scores in de rangschikkingen zullen worden verwijderd. Weet je zeker dat je de online diensten wil uitschakelen?","","","オンラインサービスを無効化しようとしています。ランキングなどの機能が使えなくなります。ランキングの自分のスコアを含む、サーバーに保存されているすべての個人データが削除されます。オンラインサービスを無効化してもよろしいですか？","您将要禁用在线服务。如排行榜之类的功能将停止工作。您存储在我们服务器上的所有个人数据（包括您在排行榜中的得分）将被删除。您真的要禁用在线服务吗？","你將關閉線上服務。這樣排行榜之類的功能將會停止運作。您儲存在我們伺服器上的所有個人數據（包括您在排行榜中的得分）將被刪除。您確定要關閉線上服務嗎？","온라인 서비스를 사용을 중단하면, 리더보드와 같은 기능을 이용할 수 없게 되며, 리더보드 상 플레이어의 점수 등 플레이어의 모든 개인 정보가 삭제됩니다. 온라인 서비스 사용을 중단할까요?","","Ezzel letiltod az online szolgáltatásokat. Egyes funkciók, mint például a ranglisták, megszűnnek. A szervereinken tárolt összes személyes adatod, beleértve a ranglistákon elért pontszámokat is, eltávolításra kerülnek. Tényleg le akarod tiltani az online szolgáltatásokat?","","","","אתם עומדים לבטל את השירותים מקוונים. דברים כמו לוח התוצאות המקוון יפסיקו לעבוד. כל המידה עליכם בשרתים שלנו כמו תוצאותיכם בלוח התוצאות המקוון ימחקו. האם אתם בטוחים שאתם רוצה לבטל את השירותים מקוונים?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_WARNING","","Warning","Avertissement","Advertencia","Achtung","Attenzione","Aviso","","Предупреждение","","","","","Varning","Waarschuwing","","","警告","警告","警告","경고","","Figyelem","","","","אזהרה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_DISABLE_ONLINE_SERVICES","","Disable online services","Désactiver les services en ligne","Desactivar servicios en línea","Onlinedienste deaktivieren","Disabilita servizi online","Desativar os serviços online","","Отключить онлайн-сервисы","","","","","Inaktivera onlinetjänster","Online services uitschakelen","","","オンラインサービス無効化","禁用在线服务","關閉線上服務","온라인 서비스 사용 중단","","Online szolgáltatások letiltása","","","","בטל שירותים מקוונים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_ENABLE","","Enable","Activer","Activar","Aktivieren","Abilita","Ativar","","Включить","","","","","Aktivera","Inschakelen","","","有効化","开启","啟用","사용","","Engedélyez","","","","תפעיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_DONT_ENABLE","","Don't enable","Ne pas activer","No activar","Nicht aktivieren","Non abilitare","Não ativar","","Не включать","","","","","Aktivera inte","Niet Inschakelen","","","有効化しない","不要开启","不啟用","사용 안 함","","Nem engedélyez","","","","אל תפעיל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_ONLINE_SERVICES_INFO","","Online services are required for leaderboards functionality.","Les services en ligne sont nécessaires au bon fonctionnement des classements.","Los servicios en línea son necesarios para la funcionalidad de las tablas de puntuaciones.","Onlinedienste sind für Bestenlisten-Funktionen erforderlich.","I servizi online sono necessari per le funzionalità delle classifiche.","Serviços online são necessários para a funcionalidade de placares de classificação.","","Для функциональности таблиц лидеров необходимы онлайн-сервисы.","","","","","Onlinetjänster krävs för topplistor funktionalitet.","Online-services zijn vereist voor het gebruik van rangschikkingen.","","","オンラインサービスは、ランキング機能の使用に必要となります。","排行榜功能需要在线服务。","排行榜功能需要線上服務。","순위표 기능을 사용하려면 온라인 서비스가 필수입니다.","","A ranglistához szükség van az online szolgáltatásokra.","","","","שירותים מקוונים מחויבים בשביל תפקוד הלוח התוצאות המקוון.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_ONLINE_SERVICES_TOGGLE","","Online services enabled","Services en ligne activés","Servicios en línea activados","Onlinedienste aktivierst","Servizi online abilitati","Serviços online ativados","","Онлайн-сервисы включены","","","","","Onlinetjänster aktiverade","Online-services ingeschakeld","","","オンラインサービスが有効化されました","在线服务已开启","線上服務已開啟","온라인 서비스 사용함","","Online szolgáltatások engedélyezve","","","","הפעל שירותים מקוונים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONLINE_SERVICES_OPTIN_INFO","","Before you start using our leaderboards you need to enable our online services. This is required to show the best players and to submit your scores. Do you want to enable online services?","Pour utiliser nos classements, vous devez activer nos services en ligne. Cela vous permettra de consulter les meilleurs scores et de nous envoyer les vôtres. Voulez-vous les activer ?","Antes de comenzar a usar nuestras tablas de puntuaciones, necesitas activar nuestros servicios en línea. Esto es necesario para mostrar a los mejores jugadores y para enviar tus puntuaciones. ¿Deseas activar los servicios en línea?","Bevor du unsere Bestenlisten verwenden kannst, musst du unsere Onlinedienste deaktivieren. Dies ist erforderlich, um die besten Spieler anzuzeigen und deine Punkte zu übertragen. Möchtest du die Onlinedienste aktivieren?","Prima di iniziare a utilizzare le nostre classifiche è necessario abilitare i nostri servizi online. Questo è necessario per mostrare i migliori giocatori e per inviare i tuoi punteggi. Vuoi abilitare i servizi online?","Antes de começar a usar nossos placares de classificação, você precisa ativar os nossos serviços online. Isto é necessário para mostrar os melhores jogadores e enviar suas pontuações. Você quer habilitar serviços online?","","Прежде чем вы начнете использовать наши таблицы лидеров, вам нужно включить наши онлайн-сервисы. Это необходимо для того, чтобы показать лучших игроков и отправить ваши результаты. Вы хотите включить онлайн-сервисы?","","","","","Innan du börjar använda våra topplistor måste du aktivera våra onlinetjänster. Detta krävs för att visa de bästa spelarna och att skicka in dina poäng. Vill du aktivera onlinetjänster?","Voordat je onze leaderboards gaat gebruiken, moet je onze online diensten inschakelen. Dit is vereist om de beste spelers te tonen en je scores in te dienen. Wil je online diensten inschakelen?","","","ランキングを使用するには、オンラインサービスを有効化してください。ランキングではベストプレイヤーを表示したり、自分のスコアを送信できます。オンラインサービスを有効化しますか？","在开始使用我们的排行榜之前，您需要启用我们的在线服务。 这是显示最佳玩家和提交分数所必需的。 您要启用在线服务吗？","在開始使用我們的排行榜之前，您需要啟用我們的線上服務。這是顯示最佳玩家和提交分數所必需的。您要啟用線上服務嗎？","순위표 > 리더보드","","Mielőtt elkezdenéd használni a ranglistát, ahhoz, hogy lásd a világ legjobb játékosait és megküzdj velük, engedélyezned kell az online szolgáltatásokat. Szeretnéd ezt megtenni?","","","","לפני שאתם מתחילים להשתמש בלוח התוצאות שלנו אתם צריך להפעיל את השרות המקוון. זה מחויב כדי להראות את התוצאות של שחקנים שיותר גיימרים ממכם ולעלות את התוצאות הנוראיות שלך. האם אתם רוצים להפעיל את השירותים המקוונים?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMPTY_CUSTOM_SONG_LIST_INFO","","You don't have any custom songs.","Vous n'avez aucun morceau personnalisé.","No tienes ninguna canción personalizada.","Du hast keine benutzerdefinierten Songs.","Non hai ancora brani personalizzati.","Você não tem músicas personalizadas.","","У вас нет пользовательских песен.","","","","","Du har inga custom låtar.","Je hebt geen aangepaste nummers.","","","カスタム曲はありません。","您还没有任何的自定义歌曲","您沒有任何自定義歌曲","커스텀 곡이 없습니다.","","Nincsenek egyedi zenéid.","","","","אין לכם שירים חיצוניים.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENU_CONTROLLERS_TRANSFORM","","Controllers","Manettes","Controles","Controller","Controllers","Controles","","Контроллеры","","","","","Kontroller","Controllers","","","コントローラー","手柄","控制器","컨트롤러","","Játékvezérlők","","","","שליטים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_RESET","","Reset","Réinitialiser","Reiniciar","Zurücksetzen","Ripristina","Redefinir","","Сброс","","","","","Återställ","Herstellen","","","リセット","重置","重置","초기화","","Visszaáll.","","","","איפוס","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_POSITION_X","","Position X","Position X","Posición X","Position X","Posizione X","Posição X","","Позиция X","","","","","Position X","X-positie","","","X位置","X轴位置","X 軸位置","X 위치","","X pozíció","","","","מיקום X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_POSITION_Y","","Position Y","Position Y","Posición Y","Position Y","Posizione Y","Posição Y","","Позиция Y","","","","","Position Y","Y-positie","","","Y位置","Y轴位置","Y 軸位置","Y 위치","","Y pozíció","","","","מיקום Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_POSITION_Z","","Position Z","Position Z","Posición Z","Position Z","Posizione Z","Posição Z","","Позиция Z","","","","","Position Z","Z-positie","","","Z位置","Z轴位置","Z 軸位置","Y 위치","","Z pozíció","","","","מיקום Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_ROTATION_X","","Rotation X","Rotation X","Rotación X","Rotation X","Rotazione X","Rotação X","","Вращение X","","","","","Rotation X","X-rotatie","","","X回転","X轴旋转","X 軸旋轉","X 회전","","X tengely","","","","סיבוב X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_ROTATION_Y","","Rotation Y","Rotation Y","Rotación Y","Rotation Y","Rotazione Y","Rotação Y","","Вращение Y","","","","","Rotation Y","Y-rotatie","","","Y回転","Y轴旋转","Y 軸旋轉","Y 회전","","Y tengely","","","","סיבוב Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TITLE_ROTATION_Z","","Rotation Z","Rotation Z","Rotación Z","Rotation Z","Rotazione Z","Rotação Z","","Вращение Z","","","","","Rotation Z","Z-rotatie","","","Z回転","Z轴旋转","Z 軸旋轉","Z 회전","","Z tengely","","","","סיבוב Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENU_OCULUS_MRC","","MRC","MRC","MRC","MRC","MRC","MRC","","MRC","","","","","MRC","MRC","","","MRC","混合现实捕捉(MRC)","混合實境捕捉 (MRC)","MRC(혼합현실 캡처)","","MRC","","","","MRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_OCULUS_MRC","","MRC (Beta)","MRC (Bêta)","MRC (Beta)","MRC (Beta)","MRC (Beta)","MRC (Beta)","","MRC (бета)","","","","","MRC (Beta)","MRC (Beta)","","","MRC（ベータ）","混合现实捕捉(MRC)(测试版)","混合實境捕捉 (MRC) (測試版)","MRC (베타)","","MRC (Béta)","","","","MRC (בטא)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_OCULUS_MRC_INFO","","Mixed Reality Capture uses an external camera, such as a webcam, to capture real-world images, against a green-screen, and combine them with a scene generated by a mixed reality supported VR app to create a single blended scene. 

For more information search for Mixed Reality Capture Setup Guide in Oculus Documentation.","La capture en réalité mixte utilise une caméra externe (une webcam, par exemple) pour capturer des images réelles, sur fond vert, et les associer à une scène générée par une application de RV supportant la réalité mixte pour ne faire qu'une image. Vous trouverez plus d'informations dans le Guide d'installation de capture en réalité mixte dans la documentation d'Oculus.","La Captura de Realidad Mixta usa una cámara externa, como una cámara web, para capturar imágenes del mundo real, contra una pantalla verde, y las combina con una escena generada por una aplicación de RV de realidad mixta para crear una sola escena combinada. 

Para más información, busca la Guía de Configuración de Captura de Realidad Mixta en la Documentación de Oculus.","Die Mixed-Reality-Aufnahme verwendet eine externe Kamera, z. B. eine Webcam, um Bilder aus der realen Welt vor einem Greenscreen aufzunehmen und sie mit einer Szene zu kombinieren, die von einer Mixed-Reality-unterstützten VR-App generiert wurde, um so eine einzelne gemischte Szene zu erstellen. 

Weite Informationen findest du im Leitfaden zur Einrichtung von Mixed Reality in der Oculus-Dokumentation.","Mixed Reality Capture utilizza una telecamera esterna, come una webcam, per catturare immagini del mondo reale, contro uno schermo verde, e combinarli con una scena generata da mixed reality app VR per creare una singola scena mista. 

Per ulteriori informazioni cerca per Getting Started With Mixed Reality Capture nella documentazione di Oculus.","Captura de Realidade Mista usa uma câmera externa, como uma webcam, para capturar imagens do mundo real, em uma tela verde, para então combiná-los em uma cena gerada por um aplicativo de RV mista suportado, para então criar uma única cena mesclada.

Para obter mais informações, pesquise por Introdução à Captura de Realidade Mixed na Documentação do Oculus.","","Mixed Reality Capture использует дополнительную камеру, например веб-камеру, для захвата реальных изображений, на зеленом экране, и комбинировать их со сценой созданной смешанной реальностью поддерживаемым VR приложением, чтобы создать одну смешанную сцену. 

Для получения более подробной информации о том, как начать работу с Mixed Reality Capture в документации Oculus.","","","","","Mixed Reality Capture använder en extern kamera, som en webbkamera, för att fånga verkliga bilder, mot en green-screen, och kombinera dem med en scen som genereras av en VR-app som för att skapa en ända blandad scen. 

För mer information sök efter Komma igång med Mixed Reality Capture in Oculus Documentation.","","","","ミックスドリアリティキャプチャはウェブカメラなどの外付けカメラを使用して、グリーンバック上で現実の画像をキャプチャして、ミックスドリアリティに対応するVRアプリで生成されたシーンと組み合わせることで、融合したシーンを作成します。

詳細は、Oculusドキュメントのミックスドリアリティキャプチャのセットアップガイドをご覧ください。","混合现实捕获使用外部摄像头（例如webcam）在绿幕背景中拍摄真实世界的图像，并将它们与混合现实支持的VR应用程序生成的场景结合起来以创建单个混合场景。

有关更多信息，请在Oculus文档中搜索《Getting Started With Mixed Reality Capture》。","混合實境捕捉使用外部鏡頭（例如webcam）在綠幕背景中拍攝真實世界的影像，並將它們與支援混合實境的 VR 應用程式產生的場景結合起來以創建單個混合場景。

有關更多信息，請在Oculus文檔中搜尋《Getting Started With Mixed Reality Capture》。","혼합 현실 캡처는 웹캠 등의 외부 카메라를 사용하여 그린 스크린을 배경으로 실제 이미지를 캡처한 후, 혼합 현실을 지원하는 VR 앱으로 생성한 장면과 섞어 하나의 혼합 장면을 만듭니다. 

자세한 정보는 Oculus Documentation의 혼합 현실 캡처 설정 가이드(Mixed Reality Capture Setup Guide)를 검색해주십시오.","","A Mixed Reality Capture egy külső kamera, például webkamera segítségével, valós képeket rögzít zöld képernyővel és ezeket kombinálva egy vegyes valóságot támogató VR alkalmazás által létrehozott jelenettel egyetlen vegyes jelenetett hoz létre.

További információkért keresse meg az Első Lépések A Vegyes Valóság Rögzítésével című szakaszt az Oculus Dokumentációjában.","","","","הקלטה של מציאות משולבת היא באמצעות מצלמה חיצונית, למשל כמו צלמת מחשב, כדי להקליט את העולם האמתי, מול מסך ירוק ושילוב עם הקלטה של המשחק על ידי תוכנה מציאות מדומה התומכת בקלטת מציאות משולבת שמשלבת אותם לתמונה אחת. 

לעוד מידה תחפשו תחילים עם הקלטת מציאות משולבת עם אוקולוס《Getting Started With Mixed Reality Capture Documentation》.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETTINGS_OCULUS_MRC_WARNING","","Mixed Reality Capture is in development and can cause bad performance. We are continuing to improve the experience, and the set up flow may change.","La fonctionnalité de capture en réalité mixte est en développement et peut entraîner des chutes de performances. Nous travaillons à son amélioration et la méthode de configuration est sujette à modification.","La Captura de Realidad Mixta está en desarrollo y puede causar un mal rendimiento. Continuamente estamos trabajando para mejorar la experiencia, y el proceso de configuración puede cambiar.","Die Mixed-Reality-Aufnahme befindet sich in der Entwicklung und kann zu einer schlechten Performance führen. Wir arbeiten daran, die Erfahrung zu verbessern, und der Einrichtungsablauf kann sich ändern.","Mixed Reality Capture è in fase di sviluppo e può causare cattive prestazioni. Stiamo continuando a migliorare l'esperienza e le impostazioni potrebbero cambiare.","Captura de Realidade Mista está em desenvolvimento e pode causar mau desempenho. Nós continuamos a melhorar a experiência, e o fluxo de configuração pode mudar.","","Смешанный захват реальности находится в разработке и может привести к плохой производительности. Мы продолжаем улучшать опыт, и настройка потока может измениться.","","","","","Mixed Reality Capture är under utveckling och kan orsaka dålig prestanda. Vi fortsätter att förbättra erfarenheten och det inställda flödet kan förändras.","Mixed Reality Capture is volop in ontwikkeling en kan mogelijks tot slechte prestaties leiden. We blijven eraan werken om de gebruikerservaring te verbeteren en de manier om het op te zetten kan mogelijks wijzigen.","","","ミックスドリアリティキャプチャは開発中であり、パフォーマンス低下の原因となることがあります。改善、向上を継続していますので、セットアップの流れが変更されることがあります。","混合现实捕获正在开发中，可能会导致性能下降。 我们将继续改善体验，并且设置流程可能会更改变。","混合實境捕捉還在開發中，可能會導致性能下降。我們將繼續改善體驗，並且設定流程可能會更改變。","혼합 현실 캡처는 개발 단계에 있기 때문에 성능에 부정적인 영향을 끼칠 수 있습니다. 현재 지속해서 사용자 경험을 개선하고 있기 때문에 설정 과정이 변할 수 있습니다.","","A vegyes valóság-rögzítés fejlesztés alatt áll, és rossz teljesítményt okozhat. Folyamatosan javítjuk a tapasztalatokat, és a beállított folyamat változhat.","","","","הקלטת מציאות משולבת היא עדיין בפיתוח ויכולה לגרום למשחק לרוץ בצורה פחות טובה. אנחנו ממשיכים לעבוד על זה ודרך הסידור כנראה תשתנה.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYER_SETTINGS_SABER_TRAIL_INTENSITY","","Trail Intensity","Intensité des traînées","Intensidad de Rastreo","Spurstreifen-Intensität","Intensità Della Scia","Intensidade dos Rastros","","Интенсивность следа","","","","","Spår Intensitet","Spoor Intensiteit","","","軌跡の彩度","光剑尾迹强度","光劍軌跡強度","검기 강도","","Nyomvonal erőssége","","","","בהירות הזנב","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYING_CAMPAIGN_PRESENCE","","Playing Campaign","Joue à la campagne","Jugando Campaña","Spielen der Kampagne","Gioca Campagna","Jogar Campanha","","Играет в Кампанию","","","","","Spela kampanj","Speelt de Campaign","","","キャンペーンプレイ中","正在玩闯关模式","正在闖關中","캠페인 플레이 중","","Kampányban","","","","משחק את הקמפיין","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAYING_TUTORIAL_PRESENCE","","Playing Tutorial","Joue au didacticiel","Jugando Tutorial","Spielen des Tutorials","Gioca Tutorial","Jogar Tutorial","","Проходит обучение","","","","","Spela tutorial","Speelt de Tutorial","","","チュートリアルプレイ中","正在进行新手教程","正在接收新知識","튜토리얼 플레이 중","","Bemutatóban","","","","משחק את ההדרכה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BROWSING_MENUS_PRESENCE","","Browsing Menus","Dans les menus","Explorando Menúes","Durchblättern der Menüs","Menù Di Navigazione","Navegação de Menus","","Просматривает меню","","","","","Sök Menyer","Zit in het Menu","","","メニュー閲覧中","正在浏览菜单","正在瀏覽選單","메뉴 둘러보는 중","","Menüben","","","","מסתכל בתפריט","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEADERBOARDS_CURRENT_MODIFIERS_ONLY_TITLE","","Top (only with current modifiers)","Podium (uniquement avec les modificateurs actuels)","Mejores (solamente con modificadores actuales)","Spitzenplätze (nur mit aktuellen Modifikatoren)","Top (solo con i modificatori attuali)","Top (apenas com modificadores atuais)","","Топ (только с текущими модификаторами)","","","","","Topp (endast med nuvarande modifierare)","Top (alleen met de huidige modifiers)","","","トップ（現在のルール変更ありで）","排行(使用当前修改项)","排行榜(只用目前的修改器)","상위권(현 모디파이어 기준)","","Toplista (az aktív módosítókkal)","","","","הכי טובים (עם שינויים שאתם בחרתם)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_SERVER_NAME","","Server Name","Nom de serveur","Nombre del servidor","Servername","Nome Server","Nome do Servidor","","Имя сервера","","","","","Server namn","Servernaam","","","サーバー名","服务器名称","伺服器名稱","서버 이름","","Szervernév","","","","שם השרת","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
